COUNTRY,Country,SERIES,Series,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,CPNCU,Current prices in NCU,2000,2000,AUD,Australian Dollar,0,Units,,,46286.1111,,
AUS,Australia,CPNCU,Current prices in NCU,2001,2001,AUD,Australian Dollar,0,Units,,,48366.6285,,
AUS,Australia,CPNCU,Current prices in NCU,2002,2002,AUD,Australian Dollar,0,Units,,,50109.13756,,
AUS,Australia,CPNCU,Current prices in NCU,2003,2003,AUD,Australian Dollar,0,Units,,,51867.99994,,
AUS,Australia,CPNCU,Current prices in NCU,2004,2004,AUD,Australian Dollar,0,Units,,,54283.66978,,
AUS,Australia,CPNCU,Current prices in NCU,2005,2005,AUD,Australian Dollar,0,Units,,,56174.40486,,
AUS,Australia,CPNCU,Current prices in NCU,2006,2006,AUD,Australian Dollar,0,Units,,,58577.02918,,
AUS,Australia,CPNCU,Current prices in NCU,2007,2007,AUD,Australian Dollar,0,Units,,,62067.95557,,
AUS,Australia,CPNCU,Current prices in NCU,2008,2008,AUD,Australian Dollar,0,Units,,,64554.53519,,
AUS,Australia,CPNCU,Current prices in NCU,2009,2009,AUD,Australian Dollar,0,Units,,,65621.76471,,
AUS,Australia,CPNCU,Current prices in NCU,2010,2010,AUD,Australian Dollar,0,Units,,,69386.49673,,
AUS,Australia,CPNCU,Current prices in NCU,2011,2011,AUD,Australian Dollar,0,Units,,,73301.50676,,
AUS,Australia,CPNCU,Current prices in NCU,2012,2012,AUD,Australian Dollar,0,Units,,,75509.6805,,
AUS,Australia,CPNCU,Current prices in NCU,2013,2013,AUD,Australian Dollar,0,Units,,,76975.38462,,
AUS,Australia,CPNCU,Current prices in NCU,2014,2014,AUD,Australian Dollar,0,Units,,,79083.95636,,
AUS,Australia,CPNCU,Current prices in NCU,2015,2015,AUD,Australian Dollar,0,Units,,,79613.79924,,
AUS,Australia,CPNCU,Current prices in NCU,2016,2016,AUD,Australian Dollar,0,Units,,,80403.13461,,
AUS,Australia,CPNCU,Current prices in NCU,2017,2017,AUD,Australian Dollar,0,Units,,,80741.69488,,
AUS,Australia,CPNCU,Current prices in NCU,2018,2018,AUD,Australian Dollar,0,Units,,,81812.23272,,
AUT,Austria,CPNCU,Current prices in NCU,2000,2000,EUR,Euro,0,Units,,,27948.29476,,
AUT,Austria,CPNCU,Current prices in NCU,2001,2001,EUR,Euro,0,Units,,,28527.29757,,
AUT,Austria,CPNCU,Current prices in NCU,2002,2002,EUR,Euro,0,Units,,,29263.04604,,
AUT,Austria,CPNCU,Current prices in NCU,2003,2003,EUR,Euro,0,Units,,,29796.3044,,
AUT,Austria,CPNCU,Current prices in NCU,2004,2004,EUR,Euro,0,Units,,,30887.48594,,
AUT,Austria,CPNCU,Current prices in NCU,2005,2005,EUR,Euro,0,Units,,,31800.99256,,
AUT,Austria,CPNCU,Current prices in NCU,2006,2006,EUR,Euro,0,Units,,,32930.81814,,
AUT,Austria,CPNCU,Current prices in NCU,2007,2007,EUR,Euro,0,Units,,,33910.13362,,
AUT,Austria,CPNCU,Current prices in NCU,2008,2008,EUR,Euro,0,Units,,,35238.654,,
AUT,Austria,CPNCU,Current prices in NCU,2009,2009,EUR,Euro,0,Units,,,35979.07254,,
AUT,Austria,CPNCU,Current prices in NCU,2010,2010,EUR,Euro,0,Units,,,36433.88824,,
AUT,Austria,CPNCU,Current prices in NCU,2011,2011,EUR,Euro,0,Units,,,37173.23275,,
AUT,Austria,CPNCU,Current prices in NCU,2012,2012,EUR,Euro,0,Units,,,38270.30447,,
AUT,Austria,CPNCU,Current prices in NCU,2013,2013,EUR,Euro,0,Units,,,39127.7159,,
AUT,Austria,CPNCU,Current prices in NCU,2014,2014,EUR,Euro,0,Units,,,40067.80227,,
AUT,Austria,CPNCU,Current prices in NCU,2015,2015,EUR,Euro,0,Units,,,40931.75961,,
AUT,Austria,CPNCU,Current prices in NCU,2016,2016,EUR,Euro,0,Units,,,41920.07163,,
AUT,Austria,CPNCU,Current prices in NCU,2017,2017,EUR,Euro,0,Units,,,42588.06771,,
AUT,Austria,CPNCU,Current prices in NCU,2018,2018,EUR,Euro,0,Units,,,43468.03531,,
BEL,Belgium,CPNCU,Current prices in NCU,2000,2000,EUR,Euro,0,Units,,,31118.30263,,
BEL,Belgium,CPNCU,Current prices in NCU,2001,2001,EUR,Euro,0,Units,,,31934.11471,,
BEL,Belgium,CPNCU,Current prices in NCU,2002,2002,EUR,Euro,0,Units,,,32934.43046,,
BEL,Belgium,CPNCU,Current prices in NCU,2003,2003,EUR,Euro,0,Units,,,33594.89405,,
BEL,Belgium,CPNCU,Current prices in NCU,2004,2004,EUR,Euro,0,Units,,,34254.92645,,
BEL,Belgium,CPNCU,Current prices in NCU,2005,2005,EUR,Euro,0,Units,,,34957.49778,,
BEL,Belgium,CPNCU,Current prices in NCU,2006,2006,EUR,Euro,0,Units,,,36189.84805,,
BEL,Belgium,CPNCU,Current prices in NCU,2007,2007,EUR,Euro,0,Units,,,37060.64724,,
BEL,Belgium,CPNCU,Current prices in NCU,2008,2008,EUR,Euro,0,Units,,,38353.78673,,
BEL,Belgium,CPNCU,Current prices in NCU,2009,2009,EUR,Euro,0,Units,,,38524.78411,,
BEL,Belgium,CPNCU,Current prices in NCU,2010,2010,EUR,Euro,0,Units,,,38973.42966,,
